id,priority,phase,area,title,description,acceptance_criteria,test_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes
XIV-001,P0,Phase 1,backend,复现并锁定检索失败点,"复现 cs.AI 下 omibench 和 cs.CL 分类请求，确认失败点属于后端 query、时间窗过滤、缓存还是 Android 状态传递。","能稳定复现 GET /papers?category=cs.AI&keyword=omibench 与 GET /papers?category=cs.CL 请求；记录真实返回与预期差异；给出明确失败归因。",AUTOSERVER,"补充可复现样例或测试输入；标注实际命中论文与断点位置；说明是否受缓存或 days 参数影响。","回归确认同样输入仍能稳定定位问题；避免把线上偶发波动误判为修复；保留可重复验证口径。",未开始,未开始,未开始,未提交,待分配,"backend/app/clients/arxiv_client.py:18; backend/app/services/paper_service.py:35; android/app/src/main/java/com/xivdaily/app/data/repository/PaperRepository.kt:105","先产出证据，再进入检索修复。"
XIV-002,P0,Phase 2,backend,修正 arXiv 交叉分类检索策略,"评估 cat:<category> AND all:<keyword> 是否召回过窄，必要时改为关键词召回后按分类过滤，或分类命中与关键词命中双通道查询后去重。","OMIBench 在 cs.AI 检索下可命中；交叉分类论文不会因单一路径查询被漏掉；新增后端测试覆盖 cs.CV/cs.AI/cs.CL 多分类场景。",AUTOSERVER,"评审查询策略是否兼顾准确率与复杂度；确认去重键与排序口径；检查不会明显放大请求量或破坏现有 API 契约。","回归 cs.AI、cs.CL、无关键词查询；确认无重复论文、无明显性能回退；测试覆盖新逻辑主路径。",未开始,未开始,未开始,未提交,待分配,"backend/app/clients/arxiv_client.py:18; backend/app/services/paper_service.py:35","优先保证可解释和可测试，不为少量假设场景过度设计。"
XIV-003,P1,Phase 3,backend+android,修正 cs.CL 空结果口径与展示,"区分真实无结果、请求失败和筛选误伤三种状态；若 days=3 过窄则补清晰空态，否则联动修正检索逻辑。","cs.CL 空列表时前后端能区分空态原因；错误态不会伪装成正常空结果；如维持 days=3，前端空态文案能解释当前筛选范围。",AUTOFRONTEND,"确认接口字段或状态映射足以表达三种空态；评审文案是否准确且不误导用户；检查旧状态分支是否被完整替换。","回归 cs.CL 在有结果、无结果、失败三类场景下展示；确认 Android 状态渲染与后端返回一致。",未开始,未开始,未开始,未提交,待分配,"backend/app/services/paper_service.py:35; android/app/src/main/java/com/xivdaily/app/data/repository/PaperRepository.kt:105; android/app/src/main/java/com/xivdaily/app/ui/viewmodel/HomeViewModel.kt:123","如果问题纯属检索侧导致，可减少 UI 改动面。"
XIV-004,P0,Phase 4,backend,打通 Zotero 集合与条目可见性闭环,"复查集合创建、条目写入和同步调用链，补充 target_collection_name、collection key、status、zotero_item_key 等可见调试口径，必要时增加读取验证或更明确错误信息。","首次同步后能确认集合创建到正确 library，条目写入到预期 collection；接口返回或日志能看到关键同步字段；用户可区分成功但不可见与真正失败。",AUTOSERVER,"评审 Zotero library 类型、collection key 和响应解析是否一致；确认新增返回字段不会破坏现有前端；必要时补充读取验证的边界。","回归新建集合、重复同步、异常 library 场景；确认前端或日志能准确反映可见性结果；避免只更新本地状态。",未开始,未开始,未开始,未提交,待分配,"backend/app/services/zotero_service.py:22; backend/app/clients/zotero_client.py:33","验收必须包含真实可见性检查，不能只看本地 synced。"
XIV-005,P1,Phase 5,android,收紧已同步论文的同步入口,"Home 和 Library 卡片在已同步状态下隐藏或禁用同步按钮；首页右滑同步在已同步时改为无效态或提示态，同时保留后端幂等。","已同步论文不再出现可误触的同步按钮或重复右滑入口；未同步论文仍可正常触发同步；交互文案与状态标签保持一致。",AUTOFRONTEND,"评审已同步状态来源是否可靠；确认按钮禁用、隐藏或替换方案在 Home 和 Library 统一；检查手势能力未被误删。","回归首页卡片、收藏页卡片、右滑同步三条路径；确认重复同步不会从 UI 再次触发且未同步流程不受影响。",未开始,未开始,未开始,未提交,待分配,"android/app/src/main/java/com/xivdaily/app/ui/viewmodel/HomeViewModel.kt:123; android/app/src/main/java/com/xivdaily/app/ui/screen/HomeScreen.kt:465; android/app/src/main/java/com/xivdaily/app/ui/screen/LibraryScreen.kt:488","前端收口不替代后端幂等，两侧都要保留。"
XIV-006,P1,Phase 6,android,补完头像与用户名本地持久化,"为 UserPreferences 增加 displayName 与 avatarPreset 等轻量字段，设置页支持编辑并保存到 DataStore，重启后仍可恢复。","Settings 可修改用户名与头像预设；保存后立即反馈成功；应用重启后资料仍保持；相关仓库与 ViewModel 测试通过。",AUTOFRONTEND,"评审字段设计是否轻量且向后兼容；确认默认值、迁移与空值处理清晰；检查弹窗或面板交互不会扩大范围到图片选择。","回归首次安装、已有偏好升级、重启恢复和重复编辑；确认 ViewModel 与 DataStore 状态同步一致。",未开始,未开始,未开始,未提交,待分配,"android/app/src/main/java/com/xivdaily/app/data/datastore/UserPreferencesRepository.kt:13; android/app/src/main/java/com/xivdaily/app/ui/screen/SettingsScreen.kt:113","首版优先头像预设或首字母头像，避免引入图片选择器。"
XIV-007,P2,Phase 7,android-ui,三页 UI 视觉骨架向参考图收敛,"重整 Home、Library、Settings 三页的留白、卡片层级、背景和信息密度，保留既有手势能力并向参考图靠拢。","Home、Library、Settings 三页整体布局与参考图明显更接近；教学性文案与工具栏噪音下降；现有关键手势与操作仍可使用。",AUTOFRONTEND,"评审三页改动边界，避免同时改动业务状态逻辑；确认配色、卡片节奏和层级统一；检查手势入口与状态标签未被视觉改造破坏。","逐页对照参考图回归；确认不同状态下布局不抖动；验证 Home 双击收藏、右滑同步、左滑移除和收藏页批量操作仍可用。",未开始,未开始,未开始,未提交,待分配,"android/app/src/main/java/com/xivdaily/app/ui/screen/HomeScreen.kt:465; android/app/src/main/java/com/xivdaily/app/ui/screen/LibraryScreen.kt:488; android/app/src/main/java/com/xivdaily/app/ui/screen/SettingsScreen.kt:113; 参考/首页参考.jpg; 参考/收藏页参考.jpg; 参考/设置参考.jpg","UI 改造应建立在同步状态和资料字段口径已稳定的前提下。"
XIV-008,P1,Phase 8,delivery,按小批次推进实施并控制改动面,"把工作拆成后端检索与 Zotero、Settings 资料持久化、三页 UI 收口三批次，减少跨文件同时编辑带来的风险。","存在明确的三批次执行边界；每批次可独立提交与回归；单批次不会横跨过多无关文件。",AUTOE2E,"评审批次划分是否与依赖关系一致；确认每批次输入输出和阻塞条件清晰；避免把所有问题一次性混改。","回归每批次完成后都能独立通过对应验证；确认后续批次只依赖前一批稳定输出。",未开始,未开始,未开始,未提交,待分配,"backend/app/clients/arxiv_client.py:18; backend/app/services/zotero_service.py:22; android/app/src/main/java/com/xivdaily/app/data/datastore/UserPreferencesRepository.kt:13; android/app/src/main/java/com/xivdaily/app/ui/screen/HomeScreen.kt:465","这是执行边界 issue，用来约束交付节奏。"
XIV-009,P0,Phase 9,qa,为每个批次建立独立验收,"后端补 pytest，Android 补 ViewModel 测试，UI 用真机或模拟器截图与参考图逐页比对，形成分批验收闭环。","后端、ViewModel、UI 三类验收都有明确入口；每个批次完成后可立即验证；失败时能定位到具体批次。",AUTOE2E,"评审测试范围是否覆盖检索、Zotero、资料持久化和 UI 关键状态；确认截图比对和自动化测试职责边界；避免只有人工口头验收。","回归每批次至少跑一轮对应测试；确认失败信息可定位；新增测试不会因超时或环境问题长期卡住。",未开始,未开始,未开始,未提交,待分配,"backend/tests; android/app/src/test; 参考/首页参考.jpg; 参考/收藏页参考.jpg; 参考/设置参考.jpg","后台测试执行时控制单次超时在 60 秒内。"
XIV-010,P0,Phase 10,e2e,回归完整用户路径,"串起首页筛选与搜索、收藏并同步 Zotero、设置页修改资料、重启后状态保持，验证整轮问题是否真正闭环。","能完成 cs.AI/cs.CL 筛选与 omibench 搜索；收藏后可同步到 Zotero；Settings 修改资料后重启仍保留；同步状态和列表展示一致。",AUTOE2E,"评审完整路径是否覆盖用户最关心的五类问题；确认前后端状态一致；检查是否还存在只在单步测试中通过但串联后失败的断点。","完整路径至少回归一轮；确认首页、收藏页、设置页串联不回退；必要时附带截图或日志证据。",未开始,未开始,未开始,未提交,待分配,"android/app/src/main/java/com/xivdaily/app/ui/screen/HomeScreen.kt:465; android/app/src/main/java/com/xivdaily/app/ui/screen/LibraryScreen.kt:488; android/app/src/main/java/com/xivdaily/app/ui/screen/SettingsScreen.kt:113; backend/app/services/paper_service.py:35; backend/app/services/zotero_service.py:22","最终验收以真实用户路径为准，不以单点修复自证完成。"
