"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"XIV-GOAL-001","P0","Phase 1","复现与范围确认","确认 4 个 goal 问题的真实复现路径","复现并记录 Zotero 集合语义、论文对话中文输入、发送等待反馈、library 到 chat 再回 library 的导航异常，形成后续修复边界。","4 个问题均有明确复现步骤或不可复现说明；定位到相关 Android/后端入口；Zotero 的 Web 集合、桌面同步、本机文件夹语义被区分清楚。","AUTOE2E","只读核对复现证据是否覆盖 goal.md 四项；确认没有把外部服务误判成本地文件夹能力。","回归复核后续修复是否仍覆盖本 issue 记录的四条真实路径；确认未新增未定义问题范围。","已完成","已完成","已完成","已提交","explorer","goal.md:1; goal.md:2; goal.md:3; goal.md:4; AppNavGraph.kt:169; AppNavGraph.kt:188; PaperChatScreen.kt:320; zotero_service.py:22","evidence:goal.md 四行分别对应 Zotero 集合、中文输入、等待反馈、收藏库导航；navigation:AppNavGraph.kt 76-88 底部 tab 用 restoreState/saveState，169 从 library 进入 chat/{paperId}，188-206 参数页可复现状态污染边界；chat_input:PaperChatScreen.kt 320-329 使用 ImeAction.Send 直接触发 onSend，PaperChatViewModel.kt 78-83 发送时清空 inputDraft；waiting:PaperChatViewModel.kt 83/97/105 只有 isSending，PaperChatScreen.kt 110-125 未渲染思考中 assistant 占位；llm_timeout:config.py 31 默认 30s，llm_gateway.py 51 使用该超时；zotero:zotero_service.py 80/104/110/112 确保 Web API 集合、item collections 和 repair，zotero_client.py 31-45/64-72 创建或复用 Web collection，不能直接创建 Windows 本机文件夹，桌面 Zotero 需依赖账号同步刷新。manual_test:后续在真机/模拟器与有效 Zotero Key 下按四条路径复测。risk:low 本 issue 只记录复现边界。"
"XIV-GOAL-002","P0","Phase 2","Android 导航","修复收藏库跳转对话后的底部导航状态污染","调整 bottom tab selected 判断和 tab navigate 策略，保证 library -> chat/{paperId} -> library 路径稳定回到收藏库。","从收藏库论文项进入对话页后，点击底部收藏库 tab 必须停留在 library；chat/{paperId} 仍能预选论文；不破坏其它底部 tab 返回栈。","AUTOFRONTEND","检查 selected 判断、popUpTo、launchSingleTop、restoreState 组合是否只影响导航状态；确认未硬编码 paperId。","回归 library -> chat/{paperId} -> library、home -> chat/{paperId}、底部 tab 连续切换三类路径。","已完成","已完成","已完成","已提交","worker","AppNavGraph.kt:75; AppNavGraph.kt:82; AppNavGraph.kt:169; AppNavGraph.kt:188","evidence:AppNavGraph.kt 新增 isBottomTabSelected/shouldRestoreBottomTabBackStack；从 chat/{paperId} 参数页点击底部 tab 时 restoreState/saveState=false，避免恢复到对话参数页污染 library；仍保留 chat/{paperId} 选中 chat tab。test:.\gradlew.bat :app:testDebugUnitTest --tests com.xivdaily.app.ui.navigation.AppNavGraphTest --no-daemon --console=plain => BUILD SUCCESSFUL in 37s。manual_test:真机/模拟器执行 library -> chat/{paperId} -> library、home -> chat、底部 tab 连续切换。risk:low 仅调整底部 tab 导航恢复策略。"
"XIV-GOAL-003","P0","Phase 3","论文对话输入","修复论文对话输入框中文输入问题","检查 OutlinedTextField、IME action、多行输入、发送按钮和输入清空时机，避免中文组合输入被提前提交或清空。","中文拼音组合输入可正常上屏；输入过程不会因 recomposition 丢失 composing text；点击发送后才清空输入；发送规则与换行规则一致。","AUTOFRONTEND","确认修改点位于输入状态、KeyboardOptions/KeyboardActions 或发送清空逻辑；避免把问题转嫁为禁用中文输入法。","回归中文、英文、多行文本、空文本、发送中禁用状态；确认发送后消息内容完整。","已完成","已完成","已完成","已提交","worker","PaperChatScreen.kt:320; PaperChatViewModel.kt:63; goal.md:2","evidence:PaperChatScreen.kt ChatInputBar 改用本地 TextFieldValue 保存 selection/composition；仅当外部 value 与本地 text 不一致时同步，避免 recomposition 清掉中文候选态；移除 KeyboardActions onSend，ImeAction 改 Default，发送只走尾部按钮，换行/候选确认不再直接提交。test:.\gradlew.bat :app:compileDebugKotlin :app:testDebugUnitTest --tests com.xivdaily.app.ui.viewmodel.PaperChatViewModelTest --no-daemon --console=plain => BUILD SUCCESSFUL in 31s。validation_limited:本轮没有真机/模拟器中文 IME 人工输入证据。manual_test:在真机或模拟器输入拼音中文候选、多行中文、英文与空文本，点击发送按钮后确认内容完整且发送后才清空。risk:medium 中文 IME 组合态仍需设备级确认。"
"XIV-GOAL-004","P1","Phase 4","论文对话等待体验","改善论文对话等待反馈与超时边界","确认后端 LLM 超时配置和 Android isSending 状态，在消息列表尾部增加 assistant 思考中状态，失败时正确清除等待反馈。","点击发送后立即出现思考中反馈；请求完成后替换为模型回复；失败时移除等待状态并显示错误；等待时间问题不通过客户端假等待掩盖后端超时。","AUTOE2E","检查 UI 等待态和后端 timeout 处理是否职责清晰；确认不会出现重复思考中气泡。","回归成功回复、后端失败、超时、连续发送保护和页面重组后的等待态恢复。","已完成","已完成","已完成","已提交","worker","goal.md:3; PaperChatScreen.kt:320; PaperChatViewModel.kt:63; README.md:83; README.md:89","evidence:PaperChatScreen.kt 在消息列表尾部根据 isSending 渲染临时 ThinkingBubble，成功/失败后随 isSending=false 自动移除；NetworkModule.kt 设置 OkHttp read/call timeout=75s；backend config.py/.env.example 将 LLM_REQUEST_TIMEOUT_SECONDS 默认改为 60s；PaperChatViewModelTest 增加发送中保持、成功完成、失败清理等待态回归。test:.\gradlew.bat :app:testDebugUnitTest --tests com.xivdaily.app.ui.viewmodel.PaperChatViewModelTest --no-daemon --console=plain => BUILD SUCCESSFUL in 21s；python -m pytest -q tests/test_config_api.py tests/test_llm_gateway.py => 8 passed in 0.95s。validation_limited:未连接真实 LLM 做 60s 慢响应端到端验证。manual_test:配置真实 LLM 后发送论文对话，确认思考中气泡立即出现，成功或失败后消失，超时由后端 60s 与客户端 75s 边界控制。risk:medium 外部 LLM 网关超时和移动网络仍需设备级验证。"
"XIV-GOAL-005","P0","Phase 5","后端 Zotero 同步","梳理并修复 Zotero 同步集合问题","验证 get_or_create_collection、item collections 写入和 visibility repair，修复条目已创建但不在目标集合的问题，并明确桌面 Zotero 同步语义。","新集合可创建或复用；同步 item 响应能保留 collection key；缺失 collection membership 时 repair 生效；用户可理解 Web 集合与桌面同步刷新关系。","AUTOSERVER","审查 Zotero API 调用格式、collection key 保存路径和 repair 分支；确认不会误改 Windows 本机目录。","回归新建集合、已有集合、item 缺失 collection 后 repair、无凭据配置检查和 API 错误处理。","已完成","已完成","已完成","已提交","worker","zotero_service.py:22; zotero_service.py:80; zotero_service.py:110; zotero_client.py:31; zotero_client.py:86; goal.md:1","evidence:ZoteroClient.find_collection_by_name 从 /collections/top 改为 /collections 并保留分页，避免只查顶层集合导致已有嵌套集合复用失败；create_collection 注释明确默认创建 Web 顶层集合，桌面 Zotero 需账号同步刷新；.env.example 补 ZOTERO_TARGET_COLLECTION_NAME。test:python -m pytest -q tests/test_zotero_service.py tests/test_zotero_api.py tests/test_zotero_client.py => 13 passed in 1.01s。validation_limited:未使用真实 Zotero API Key 发起外部同步。manual_test:配置真实 ZOTERO_USER_ID/ZOTERO_API_KEY 后调用 /zotero/config/status 和 /zotero/sync/{paper_id}，在 Zotero Web 端确认集合与条目，再刷新桌面客户端同步。risk:medium 真实外部 API 权限和桌面同步延迟仍需人工确认。"
"XIV-GOAL-006","P1","Phase 6","测试闭环","补齐 Android 与后端测试闭环","运行 Android 单元测试和后端 Zotero 测试，针对导航、对话输入/等待、Zotero 集合 repair 补充必要测试或记录环境限制。","Android 指定测试命令有结果；后端 pytest 指定测试有结果或明确环境不可用原因；新增/调整测试覆盖主要回归路径。","AUTOE2E","检查测试是否覆盖真实修复点，而不是只验证 mock happy path；失败用例需先解释再修。","回归运行 .\gradlew.bat :app:testDebugUnitTest --no-daemon --console=plain 和 Zotero 后端测试命令；记录所有未验证项。","未开始","未开始","未开始","未提交","default","README.md:89; PaperChatViewModelTest; LibraryViewModelTest; backend/tests/test_zotero_service.py; backend/tests/test_zotero_api.py","后台单元测试超时上限 60s；conda 不可用时必须如实记录。"
"XIV-GOAL-007","P1","Phase 7","端到端人工检查","完成 4 个目标问题的端到端人工检查","构建 Android Debug 包、启动后端并按用户目标逐项检查，必要时把截图或日志放入 artifacts/ 作为证据。","收藏库不再跳错页；中文输入可用；发送后有思考中反馈且不会过早失败；Zotero 同步集合状态可确认或可解释。","AUTOE2E","核对人工检查步骤是否与 goal.md 四项一一对应；证据路径不能污染 README 主叙事。","回归安装包、后端启动、4 条用户路径和失败提示；确认 artifacts 只保存必要调试证据。","未开始","未开始","未开始","未提交","default","goal.md:1; goal.md:2; goal.md:3; goal.md:4; README.md:138","真实设备、模拟器和 Zotero 凭据可用性会影响验收完整度。"
"XIV-GOAL-008","P2","Phase 8","README 文档","更新 README 项目介绍与运行说明","在功能修复完成后按当前项目状态重写简介、核心特性、架构概览、快速开始和配置说明，移除开发阶段过程记录。","README 说明项目是什么、能做什么、如何运行；保留必要命令和配置；阶段性检查记录被删除或降级；内容不提前承诺未完成状态。","AUTOE2E","审查 README 是否符合现有代码真实能力；确认没有保留过时截图记录或交付过程叙述。","回归 README 中 Android、后端、测试、配置命令是否仍可执行或有明确前提；检查链接和目录引用。","未开始","未开始","未开始","未提交","worker","README.md:11; README.md:41; README.md:42; README.md:83; README.md:89; README.md:138; README.md:166","文档更新应放在功能修复和测试之后。"
"XIV-GOAL-009","P2","Phase 9","仓库清理","清理远程仓库中的 issues 目录","项目最终收尾时，仅删除项目根目录下已跟踪的 issues/ 目录，并用 git status 与 git ls-files issues 确认远程将不再包含该目录。","只处理项目根 issues/；不影响 docs、artifacts、plan 或业务代码；git ls-files issues 为空；删除前有明确范围确认。","AUTOE2E","删除前审查范围是否只包含项目根 issues/；确认不会误删本次仍需使用的执行快照。","回归 git status --short 和 git ls-files issues；确认最终 commit 后远程不再包含 issues 目录。","未开始","未开始","未开始","未提交","default","issues/2026-04-29_15-16-44-xivdaily-interaction-visual-refresh.csv; issues/2026-04-29_21-13-05-xivdaily-fix-plan.csv; issues/issues-2026-04-30_15-31-43-xivdaily-complete-redesign-plan.csv","与本次生成 issues 快照存在生命周期冲突：执行完成前不要提前删除该 CSV。"
"XIV-GOAL-010","P2","Phase 10","版本控制","完成阶段性中文提交","在代码、测试、文档和清理完成后，列出实际修改文件与测试结果，并按项目规则执行中文 commit。","提交前 git status 清晰；测试命令与结果已记录；commit message 使用中文规范；未提交无关变更。","AUTOE2E","审查提交内容是否对应本次目标；确认没有混入凭据、构建产物或无关文件。","回归 git show --stat 与关键测试结果；确认 commit 覆盖已完成里程碑且工作区状态符合预期。","未开始","未开始","未开始","未提交","default","plan/2026-05-07_21-22-25-xivdaily-goal-fixes.md; README.md:89; goal.md:1","建议 commit message：[fix] 修复论文对话与收藏库同步体验问题。"
