"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"XIV-001","P0","Phase 1","baseline+qa","建立基线与问题复现清单","固定后端、Android 与截图基线，复现 papers 成功但趋势摘要失败污染首页提示的问题，并形成三页 UI 差异清单。","后端 pytest 与 Android 单测结果有记录；GET /papers 成功和 /summaries/trends 失败被明确分层归因；首页、收藏库、设置页现状截图与参考图差异清单完成。","AUTOE2E","核对复现输入、截图来源和错误归因，确认基线不混淆 papers 与 trends 两条链路。","后续每阶段回归时复用同一基线口径，确认论文列表成功不会再被趋势摘要错误覆盖。","已完成","已完成","已完成","已提交","待分配","plan/2026-04-30_15-26-41-xivdaily-complete-redesign-plan.md; backend/app/api/papers.py:13; backend/app/api/ai.py:22; android/app/src/main/java/com/xivdaily/app/ui/screen/HomeScreen.kt:169; 参考/设计图.png; 参考/首页参考.jpg; 参考/收藏页参考.jpg; 参考/设置参考.jpg","baseline:backend_pytest=28 passed; android_testDebugUnitTest=failed ClassNotFoundException; evidence:docs/qa/xiv-001-baseline-2026-04-30.md; risk:medium Android 单测当前失败，最终收口在 XIV-013 修复。"
"XIV-002","P0","Phase 2","backend+android","重构论文查询模型","将首页列表筛选与全 arXiv 模糊查询拆开，关键词搜索不再被 3/7/30 天小窗口强过滤。","PaperQuery.days 支持可选；关键词搜索默认全库召回并支持可选分类后过滤、去重和分页；前端搜索提交显示全 arXiv 搜索语义，时间 Pills 只影响无关键词列表流。","AUTOSERVER","评审查询语义、默认时间窗、分类后过滤和去重排序，确认 API 行为向后兼容。","回归无关键词列表、关键词全库搜索、分类过滤搜索和 3/7/30 天列表筛选，确保 omibench 等关键词不被时间窗误杀。","已完成","已完成","已完成","已提交","待分配","plan/2026-04-30_15-26-41-xivdaily-complete-redesign-plan.md; backend/app/api/papers.py:13; backend/app/schemas/paper.py:22; backend/app/services/paper_service.py:34; backend/app/clients/arxiv_client.py:18; android/app/src/main/java/com/xivdaily/app/data/repository/PaperRepository.kt:37; android/app/src/main/java/com/xivdaily/app/ui/viewmodel/HomeViewModel.kt:86","validation:backend tests/test_papers_api.py tests/test_paper_service.py = 9 passed; validation:android compileDebugKotlin BUILD SUCCESSFUL in 38s; validation_limited:HomeViewModelTest 60s timeout at kspDebugUnitTestKotlin; manual_test:在可稳定 Gradle 环境重跑 :app:testDebugUnitTest --tests ""com.xivdaily.app.ui.viewmodel.HomeViewModelTest""; evidence:PaperQuery.days 可空，关键词搜索不传 days 并全库召回后本地分类过滤; risk:medium Android 单测需在 XIV-013 收口。"
"XIV-003","P0","Phase 3","backend+android","加强 arXiv 限流与缓存","把论文请求升级为短期内存缓存加可选 SQLite 持久缓存，时间窗过滤下沉到缓存命中后的本地过滤层。","缓存 key 区分 feed 与 search 场景；切换 3/7/30 天不重新请求 arXiv；同一 key 并发请求可合并或节流；降级时优先返回 stale cache 并携带 status/warning。","AUTOSERVER","评审缓存 key、TTL、stale 降级、请求合并和日志可观测性，确认不会隐藏真实错误。","回归连续切换 cs.CV/cs.LG/cs.AI/cs.CL 与时间窗，断言 arXiv 请求数量下降且缓存命中可验证。","未开始","未开始","未开始","未提交","待分配","plan/2026-04-30_15-26-41-xivdaily-complete-redesign-plan.md; backend/app/services/paper_service.py:34; backend/app/services/paper_service.py:64; backend/app/clients/arxiv_client.py:18; backend/app/core/config.py:24; android/app/src/main/java/com/xivdaily/app/ui/viewmodel/HomeViewModel.kt:150","优先避免请求风暴；SQLite 持久缓存若范围过大可作为可选子项分阶段落地。"
"XIV-004","P0","Phase 4","backend+android","修复趋势摘要错误链路","分离 papers 与 trends 前端状态，限制趋势摘要输入长度，并对 LLM 失败提供轻量降级。","/papers 成功时论文列表正常展示；/summaries/trends 失败只影响趋势卡片；趋势摘要最多取 8-10 篇且摘要截断到 80-120 字；无模型配置时显示本地降级摘要。","AUTOE2E","评审状态分层、prompt 截断、错误分类和趋势卡片降级文案，确认不会污染全局错误态。","回归 context length、timeout、401/403、网络错误、缓存命中和无模型配置场景，确认论文列表持续可见。","未开始","未开始","未开始","未提交","待分配","plan/2026-04-30_15-26-41-xivdaily-complete-redesign-plan.md; backend/app/api/ai.py:22; backend/app/services/ai_service.py:30; android/app/src/main/java/com/xivdaily/app/ui/screen/HomeScreen.kt:281; android/app/src/main/java/com/xivdaily/app/ui/viewmodel/HomeViewModel.kt:150","核心目标是趋势摘要失败局部化，不能再阻断首页论文列表。"
"XIV-005","P0","Phase 5","backend+android","设置页配置可填写保存测试","将 Zotero 与大模型配置从状态查看升级为用户可填写、保存、测试和脱敏读取的闭环。","后端支持读取脱敏配置、保存配置、测试连接；Zotero 字段覆盖 user_id、library_type、api_key、target_collection_name；大模型字段覆盖 base_url、api_key、model；Android 有编辑入口、保存/测试按钮、加载态和错误态。","AUTOE2E","评审敏感字段脱敏、错误信息不泄密、接口 DTO 与设置页状态刷新逻辑。","回归空配置、保存成功、测试失败、测试成功、重启后状态保持，确认完整密钥不会出现在响应、日志或 Toast。","未开始","未开始","未开始","未提交","待分配","plan/2026-04-30_15-26-41-xivdaily-complete-redesign-plan.md; backend/app/core/config.py:24; android/app/src/main/java/com/xivdaily/app/ui/screen/SettingsScreen.kt:120; android/app/src/main/java/com/xivdaily/app/ui/screen/SettingsScreen.kt:169; android/app/src/main/java/com/xivdaily/app/data/repository/PaperRepository.kt:37; android/app/src/main/java/com/xivdaily/app/data/datastore/UserPreferencesRepository.kt:13","敏感配置只能脱敏回传，保存和测试接口需要明确失败原因但不能泄露 key。"
"XIV-006","P1","Phase 6","android","头像功能升级为图片上传","使用系统图片选择器获取本地图片 URI，DataStore 保存 URI 字符串，ProfileCard 优先展示用户图片并提供 fallback。","用户可上传、更换和移除头像；重启应用后头像仍显示；图片加载失败回退到预设头像或首字母头像；不复制系统文件、不请求多余权限，尽量使用持久 URI 权限。","AUTOFRONTEND","评审 Activity Result API、URI 持久权限、DataStore 保存和 ProfileEditorDialog 交互边界。","回归首次上传、更换、移除、权限取消、URI 失效和应用重启，确认 fallback 稳定。","未开始","未开始","未开始","未提交","待分配","plan/2026-04-30_15-26-41-xivdaily-complete-redesign-plan.md; android/app/src/main/java/com/xivdaily/app/ui/screen/SettingsScreen.kt:169; android/app/src/main/java/com/xivdaily/app/ui/screen/SettingsScreen.kt:294; android/app/src/main/java/com/xivdaily/app/data/datastore/UserPreferencesRepository.kt:13","头像数据只保存 URI 或受控引用，不把大图写入 DataStore。"
"XIV-007","P1","Phase 7","android-ui","首页按参考图重构","对首页顶部栏、搜索区、Pills、趋势简报、列表头和论文卡片做结构、间距、颜色和信息密度对齐。","首页首屏包含标准顶部栏、浅灰搜索框、紧凑 Pills、浅蓝紫趋势卡、论文列表头与刷新入口、干净论文卡片和黄色收藏 Icon；摘要默认隐藏或折叠；教学文案移除。","AUTOFRONTEND","评审与 首页参考.jpg 的视觉差异，重点检查首屏结构、卡片信息密度、收藏状态和无障碍点击区域。","回归加载态、空态、错误态、搜索态、收藏态和不同屏幕宽度，确认文字不溢出且布局稳定。","未开始","未开始","未开始","未提交","待分配","plan/2026-04-30_15-26-41-xivdaily-complete-redesign-plan.md; android/app/src/main/java/com/xivdaily/app/ui/screen/HomeScreen.kt:169; android/app/src/main/java/com/xivdaily/app/ui/screen/HomeScreen.kt:207; android/app/src/main/java/com/xivdaily/app/ui/screen/HomeScreen.kt:281; android/app/src/main/java/com/xivdaily/app/ui/screen/HomeScreen.kt:396; 参考/首页参考.jpg","本 issue 只覆盖首页视觉结构，不把收藏库和设置页混入同一改动。"
"XIV-008","P1","Phase 8","android-interaction","首页快捷操作动画反馈","为双击收藏、左滑忽视、右滑同步或收藏添加轻量动画与 overlay toast/snackbar。","双击收藏有心形或星形轻动画并提示已收藏；左滑忽视淡出/位移并提示已忽视；右滑按最终语义提示已同步到 Zotero 或已收藏；反馈不占据列表布局高度。","AUTOFRONTEND","评审手势语义、动画依赖、状态事件消费和 Toast/snackbar 展示位置，确认不会和滚动冲突。","回归双击、左滑、右滑、快速连续操作、已收藏/已同步状态和列表刷新，确认事件不重复触发。","未开始","未开始","未开始","未提交","待分配","plan/2026-04-30_15-26-41-xivdaily-complete-redesign-plan.md; android/app/src/main/java/com/xivdaily/app/ui/screen/HomeScreen.kt:396; android/app/src/main/java/com/xivdaily/app/ui/viewmodel/HomeViewModel.kt:150; android/app/src/main/java/com/xivdaily/app/ui/screen/HomeScreen.kt:281","优先使用 Compose 原生 animation，不为粒子效果引入重依赖。"
"XIV-009","P1","Phase 9","android+ai","翻译加载动画与中英双语展示","引入 per-paper 翻译状态，点击翻译后显示局部加载动画，完成后保留英文原文并展示中文翻译。","翻译中状态按论文粒度展示；按钮位置有旋转/波纹/闪烁反馈，摘要区域可显示骨架 loading；翻译完成后展示中文翻译与 Original Abstract；已翻译论文重复点击不重新请求，除非用户选择重新翻译。","AUTOE2E","评审翻译状态模型、缓存/重复请求策略、双语展示层级和失败恢复路径。","回归单篇翻译、多篇并发翻译、失败重试、已翻译再次点击和列表刷新后状态保持。","未开始","未开始","未开始","未提交","待分配","plan/2026-04-30_15-26-41-xivdaily-complete-redesign-plan.md; android/app/src/main/java/com/xivdaily/app/ui/viewmodel/HomeViewModel.kt:150; android/app/src/main/java/com/xivdaily/app/ui/screen/HomeScreen.kt:396; backend/app/services/ai_service.py:30","避免全局正在翻译文案，所有反馈落到具体论文卡片。"
"XIV-010","P1","Phase 10","android-ui","收藏库按参考图重构","重构收藏库顶部栏、状态筛选、卡片层级、同步状态色和底部批量操作区。","收藏库顶部显示标题、搜索 Icon 和选择入口；筛选栏有全部、已同步、未同步及数量；卡片右上角黄色星标并默认不展示长摘要；选择态底部批量栏包含全选、导出 BibTeX、删除；同步状态色统一。","AUTOFRONTEND","评审与 收藏页参考.jpg 的视觉差异，检查选择态、批量栏和同步状态可读性。","回归空收藏、全部/已同步/未同步筛选、多选、导出、删除和失败状态展示，确认不会误删未选项。","未开始","未开始","未开始","未提交","待分配","plan/2026-04-30_15-26-41-xivdaily-complete-redesign-plan.md; android/app/src/main/java/com/xivdaily/app/ui/screen/LibraryScreen.kt:169; android/app/src/main/java/com/xivdaily/app/ui/screen/LibraryScreen.kt:209; android/app/src/main/java/com/xivdaily/app/ui/screen/LibraryScreen.kt:424; 参考/收藏页参考.jpg","更多操作集中到三点菜单，保持卡片信息层级干净。"
