id,priority,phase,area,title,description,acceptance_criteria,test_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes
"XIV-001","P0","Phase 1","规划","冻结 MVP 边界与系统模型","基于需求.txt 与 设计图.png 明确首版功能边界、系统职责和不做项，形成后续开发的统一基线。","输出明确的 MVP 范围清单、系统职责边界、非目标列表，并补充“开发时代码必要处必须添加中文注释”的实现约束。","AUTOSERVER","检查 MVP 范围、非目标、职责边界是否自洽；检查是否已把中文注释要求写入执行边界。","确认后续设计与实现未超出首版边界，且中文注释要求未被遗漏。","已完成","已完成","已完成","已提交","default","plan/2026-04-28_21-26-06-xivdaily-fullstack-plan.md:31, 需求.txt:2, 需求.txt:5, 要求.txt:2","作为后续所有 issue 的范围基线。"
"XIV-002","P0","Phase 2","仓库","建立仓库基础结构","初始化 android、backend、docs、plan、scripts 等目录与顶层说明文档，建立前后端并行开发骨架。","仓库目录结构完整；README、环境样例配置、接口约定文档已创建；目录职责清晰；必要代码与脚手架处含中文注释。","AUTOSERVER","检查目录结构是否与计划一致；检查说明文档是否覆盖本地开发、环境配置和协作边界；抽查关键骨架代码是否有必要中文注释。","确认后续新增模块仍遵循目录约定，未出现配置散落或中文注释缺失。","已完成","已完成","已完成","已提交","worker","plan/2026-04-28_21-26-06-xivdaily-fullstack-plan.md:21, plan/2026-04-28_21-26-06-xivdaily-fullstack-plan.md:58, README.md:12, docs/api-contract.md:7, docs/local-development.md:3","优先保持最小可运行骨架。"
"XIV-003","P0","Phase 3","协议","设计领域模型与接口协议","定义核心实体、查询对象、同步记录与配置模型，输出 OpenAPI 草案并反推 Android DTO 与 Room 表结构。","Paper、PaperQuery、TrendSummary、FavoritePaper、SyncRecord、UserPreference、TranslationTask 等实体完整；OpenAPI 草案与客户端 DTO/Room 结构能一一对应；关键字段含义有中文注释或中文说明。","AUTOSERVER","检查实体命名、字段职责、接口输入输出是否一致；检查 OpenAPI、DTO、Room 三者映射是否闭环。","确认后续接口演进未破坏既有模型契约，字段语义与中文说明保持同步。","已完成","已完成","已完成","已提交","default","plan/2026-04-28_21-26-06-xivdaily-fullstack-plan.md:22, plan/2026-04-28_21-26-06-xivdaily-fullstack-plan.md:33, docs/openapi-draft.yaml:17, docs/domain-models.md:6, docs/android-model-mapping.md:6, backend/MODEL_CONTRACT.md:6","这是前后端联调的合同层。"
"XIV-004","P0","Phase 4","后端","落地 Python 后端基础设施","使用 FastAPI + SQLAlchemy 2 + Alembic + Pydantic + httpx 建立后端运行底座，完成配置、日志、异常、健康检查与 SQLite 迁移。","后端可本机启动；健康检查可用；SQLite 连接与迁移脚本可执行；敏感配置只从环境变量读取；openai开发密钥.txt 仅作为本机输入源；关键模块和复杂流程有必要中文注释。","AUTOSERVER","检查配置读取、日志、异常封装、数据库连接、迁移链路是否可运行；检查敏感信息未入库未明文提交。","确认环境切换、本机运行与未来 VPS 迁移边界仍成立，健康检查和迁移未回退。","已完成","已完成","已完成","已提交","worker","backend/app/main.py:17, backend/app/core/config.py:11, backend/app/db/session.py:17, backend/migrations/env.py:37, backend/tests/test_health.py:6","validation:compileall通过; alembic upgrade head通过; pytest 1 passed; GET /health 返回 ok。"
"XIV-005","P0","Phase 5","后端","实现 arXiv 聚合与检索能力","实现分类筛选、关键词检索、时间窗口查询、结果去重、发布日期归一化、分页与缓存策略。","支持最近 N 天、分类、关键词、分页查询；结果去重与日期归一化稳定；当上游不支持时间窗时有本地过滤与缓存兜底；关键检索与缓存逻辑有中文注释。","AUTOSERVER","检查 arXiv 查询链路、过滤规则、分页结果和缓存策略是否符合需求；抽查边界情况与异常返回。","确认查询结果稳定性、时间窗筛选和缓存命中逻辑未在后续改动中退化。","已完成","已完成","已完成","已提交","worker","backend/app/api/papers.py:13, backend/app/clients/arxiv_client.py:12, backend/app/services/paper_service.py:20, backend/tests/test_paper_service.py:36, backend/tests/test_papers_api.py:33","validation:compileall通过; pytest 3 passed; mock覆盖时间窗过滤、去重、缓存和API响应。"
"XIV-006","P0","Phase 6","AI","实现 AI 能力编排层","建立统一大模型网关，支持趋势摘要生成与单论文摘要翻译，补齐提示词、超时、重试、降级与调用日志。","趋势摘要与摘要翻译接口可用；提示词模板、超时重试、失败降级文案明确；调用日志满足排障和成本评估需求；关键编排逻辑有中文注释。","AUTOSERVER","检查模型网关接口、超时与重试策略、降级文案与日志字段是否完整；验证敏感信息未泄露。","确认后续模型切换或提示词调整不会破坏摘要/翻译主流程和失败兜底。","已完成","已完成","已完成","已提交","worker","backend/app/ai/llm_gateway.py:20, backend/app/services/ai_service.py:12, backend/app/api/ai.py:12, backend/tests/test_ai_service.py:37, backend/tests/test_ai_api.py:34","validation:compileall通过; pytest 7 passed; 已验证降级、API响应、提示词编排路径。"
"XIV-007","P1","Phase 7","Zotero","实现 Zotero 集成模块","完成 Zotero 配置校验、单篇同步、批量 BibTeX 导出、同步状态回写与幂等处理。","支持已同步/未同步/同步失败三态；单篇同步与批量导出可用；重复操作具备幂等性；失败原因可回显；关键同步与状态逻辑有中文注释。","AUTOSERVER","检查配置校验、同步接口、状态流转和失败提示是否完整；验证重复同步不会产生脏数据。","确认后续导出与同步改动不破坏三态语义、幂等性和失败回显。","已完成","已完成","已完成","已提交","worker","backend/app/services/zotero_service.py:16, backend/app/clients/zotero_client.py:8, backend/app/api/zotero.py:15, backend/tests/test_zotero_service.py:50, backend/tests/test_zotero_api.py:29","validation:compileall通过; pytest 12 passed; 已验证配置校验、幂等同步、失败状态和BibTeX导出。"
"XIV-008","P0","Phase 8","Android","搭建 Android 客户端骨架","建立 Compose Navigation、Material 3、MVVM、Repository、Retrofit、Room、DataStore 和统一状态组件，并抽取设计令牌。","客户端工程可编译运行；导航、主题、网络、本地存储、配置存储和统一状态封装齐备；中文文案资源组织完成；关键 UI 状态与架构代码有中文注释。","AUTOFRONTEND","检查客户端分层、导航、主题、数据流与资源组织是否清晰；确认设计令牌已与设计图对齐。","确认后续页面实现未破坏骨架分层、主题一致性和中文资源组织。","未开始","未开始","未开始","未提交","worker","plan/2026-04-28_21-26-06-xivdaily-fullstack-plan.md:27, plan/2026-04-28_21-26-06-xivdaily-fullstack-plan.md:43","先搭可扩展骨架，再逐页落功能。"
"XIV-009","P0","Phase 9","Android","逐页实现核心功能","实现首页、收藏库、设置页三大页面及其交互、状态、导出和配置能力，并尽量贴近设计图。","首页、收藏库、设置页主流程可用；分类筛选、时间窗切换、AI 摘要卡片、收藏持久化、批量选择、导出删除、Zotero 与模型配置等功能完整；关键交互与状态处理代码有中文注释。","AUTOFRONTEND","检查三大页面功能闭环、设计对齐度、状态标识和异常态表现；抽查本地持久化与配置回写。","确认后续视觉调整或交互优化不破坏主流程、状态一致性和页面可用性。","未开始","未开始","未开始","未提交","worker","plan/2026-04-28_21-26-06-xivdaily-fullstack-plan.md:28, 需求.txt:9, 需求.txt:59","以功能闭环优先，视觉在闭环基础上贴近设计图。"
"XIV-010","P0","Phase 10","测试交付","建立测试与发布闭环","补齐后端与客户端测试、联调脚本、假数据夹具、回归清单，并形成 APK、本地运行说明和 VPS 部署说明。","后端单元测试/接口测试、客户端 ViewModel/Repository/UI 基础测试、联调脚本和回归清单齐备；可产出可运行 APK；本地运行与 VPS 部署说明完整；测试夹具与关键脚本有中文注释。","AUTOE2E","检查测试覆盖范围、联调脚本、假数据、回归清单和交付文档是否完整；确认 APK 可产出。","确认后续功能迭代后测试与部署文档持续有效，关键回归场景未遗漏。","未开始","未开始","未开始","未提交","default","plan/2026-04-28_21-26-06-xivdaily-fullstack-plan.md:29, plan/2026-04-28_21-26-06-xivdaily-fullstack-plan.md:36","这是首个可演示版本的交付闸门。"
